,0,1,2,3,4,5,6,7,8,9,10,11
277,,,,,,,,,,X,2,8
278,,,,,,,,,X,O,0,2
279,,,O,,,,,,X,X,2,7
280,,,O,,,,,X,X,O,0,5
281,,,O,,,O,,X,X,X,2,4
282,,,O,,X,O,,X,X,O,0,3
283,,,O,O,X,O,,X,X,X,2,1
284,,,,,,,,,,X,0,3
285,,,,X,,,,,,O,2,6
286,,,,X,,,O,,,X,0,2
287,,,X,X,,,O,,,O,2,1
288,,O,X,X,,,O,,,X,0,5
289,,O,X,X,,X,O,,,O,2,4
290,,O,X,X,O,X,O,,,X,0,0
291,X,O,X,X,O,X,O,,,O,2,7
292,,,,,,,,,,X,2,0
293,X,,,,,,,,,O,0,5
294,X,,,,,O,,,,X,2,6
295,X,,,,,O,X,,,O,0,7
296,X,,,,,O,X,O,,X,2,3
297,,,,,,,,,,X,1,5
298,,,,,,X,,,,O,1,4
299,,,,,O,X,,,,X,1,7
300,,,,,O,X,,X,,O,1,8
301,,,,,O,X,,X,O,X,1,2
302,,,X,,O,X,,X,O,O,1,6
303,,,X,,O,X,O,X,O,X,1,3
304,,,X,X,O,X,O,X,O,O,1,1
305,,O,X,X,O,X,O,X,O,X,1,0
306,,,,,,,,,,X,1,4
307,,,,,X,,,,,O,1,1
308,,O,,,X,,,,,X,1,5
309,,O,,,X,X,,,,O,1,2
310,,O,O,,X,X,,,,X,1,6
311,,O,O,,X,X,X,,,O,1,8
312,,O,O,,X,X,X,,O,X,1,7
313,,O,O,,X,X,X,X,O,O,1,3
314,,O,O,O,X,X,X,X,O,X,1,0
315,,,,,,,,,,X,0,6
316,,,,,,,X,,,O,2,3
317,,,,O,,,X,,,X,0,2
318,,,X,O,,,X,,,O,2,5
319,,,X,O,,O,X,,,X,0,7
320,,,X,O,,O,X,X,,O,2,4
321,,,,,,,,,,X,1,2
322,,,X,,,,,,,O,1,1
323,,O,X,,,,,,,X,1,0
324,X,O,X,,,,,,,O,1,3
325,X,O,X,O,,,,,,X,1,7
326,X,O,X,O,,,,X,,O,1,4
327,X,O,X,O,O,,,X,,X,1,6
328,X,O,X,O,O,,X,X,,O,1,8
329,X,O,X,O,O,,X,X,O,X,1,5
330,,,,,,,,,,X,2,5
331,,,,,,X,,,,O,0,6
332,,,,,,X,O,,,X,2,3
333,,,,X,,X,O,,,O,0,0
334,O,,,X,,X,O,,,X,2,1
335,O,X,,X,,X,O,,,O,0,2
336,O,X,O,X,,X,O,,,X,2,4
337,,,,,,,,,,X,2,0
338,X,,,,,,,,,O,0,5
